"INVENTORY_ID","STORE_ID","PRODUCT_ID","PRODUCT_INVENTORY"
1,10,1,10
2,1,33,1
3,5,33,4
4,7,33,6
5,11,33,3
6,13,33,8
7,15,33,8
8,16,33,10
9,17,1,6
10,21,33,7
11,20,1,2
12,23,33,10
13,1,34,10
14,5,34,0
15,7,34,3
16,12,34,14
17,18,34,5
18,1,35,18
19,2,35,2
20,3,35,1
21,8,35,6
22,22,1,7
23,1,36,18
24,2,36,10
25,5,36,5
26,7,36,1
27,11,36,1
28,12,36,0
29,13,36,8
30,15,36,4
31,16,36,6
32,19,36,11
33,21,36,12
34,23,36,2
35,1,37,10
36,3,37,2
37,7,37,4
38,8,37,4
39,12,37,10
40,13,37,14
41,18,37,5
42,23,37,14
43,1,38,5
44,2,38,2
45,3,38,8
46,8,38,8
47,11,38,3
48,19,38,13
49,1,39,10
50,5,39,8
51,11,39,2
52,13,39,7
53,15,39,1
54,16,39,4
55,19,39,1
56,21,39,3
57,23,39,1
58,1,40,1
59,7,40,0
60,11,40,9
61,12,40,8
62,16,40,7
63,18,40,7
64,21,40,1
65,1,41,8
66,2,41,6
67,3,41,2
68,8,41,8
69,12,41,5
70,13,41,8
71,1,42,15
72,5,42,8
73,11,42,5
74,13,42,1
75,15,42,9
76,16,42,2
77,19,42,10
78,21,42,4
79,23,42,1
80,1,43,5
81,2,43,6
82,7,43,8
83,12,43,10
84,18,43,5
85,1,44,5
86,2,44,13
87,3,44,1
88,8,44,3
89,13,44,6
90,15,44,0
91,16,44,12
92,18,44,8
93,23,44,1
94,1,45,1
95,5,45,3
96,7,45,1
97,9,45,8
98,11,45,1
99,13,45,3
100,15,45,4
101,16,45,1
102,18,45,2
103,19,45,8
104,21,45,5
105,23,45,0
106,1,46,7
107,5,46,12
108,7,46,4
109,12,46,5
110,15,46,0
111,18,46,2
112,19,46,3
113,4,4,12
114,4,6,3
115,4,7,2
116,4,9,4
117,4,12,6
118,4,13,7
119,4,15,3
120,4,18,7
121,4,19,0
122,4,21,4
123,4,22,6
124,4,25,2
125,4,27,8
126,4,28,8
127,4,30,0
128,4,33,7
129,4,34,9
130,4,36,2
131,4,37,7
132,4,39,14
133,4,40,7
134,4,42,3
135,4,43,5
136,4,46,11
137,9,4,2
138,9,12,4
139,9,13,0
140,9,15,0
141,9,16,2
142,9,18,2
143,9,19,8
144,9,21,13
145,9,25,4
146,9,27,8
147,9,28,9
148,9,30,2
149,9,33,4
150,9,34,3
151,9,36,1
152,9,39,5
153,9,40,3
154,9,42,6
155,9,43,0
156,9,46,5
157,14,7,16
158,14,9,4
159,14,13,5
160,14,15,15
161,14,16,6
162,14,18,0
163,14,19,2
164,14,21,14
165,14,22,2
166,14,25,1
167,14,27,2
168,14,28,0
169,14,30,5
170,14,33,9
171,14,34,9
172,14,36,4
173,14,37,11
174,14,39,2
175,14,40,6
176,14,46,16
177,19,2,3
178,19,4,19
179,19,5,2
180,19,7,9
181,19,8,9
182,19,11,5
183,19,13,11
184,19,14,11
185,19,16,4
186,19,22,4
187,19,23,16
188,19,25,14
189,19,26,9
190,19,28,8
191,19,29,8
192,19,35,9
193,19,37,3
194,19,40,7
195,19,41,2
196,19,43,1
197,19,44,3
198,1,1,3
199,2,1,9
200,3,1,1
201,4,1,3
202,5,1,4
203,6,1,13
204,7,1,3
205,8,1,2
206,9,1,10
207,11,1,2
208,12,1,6
209,13,1,4
210,14,1,16
211,15,1,9
212,16,1,10
213,18,1,6
214,19,1,3
215,21,1,5
216,23,1,15
217,1,2,16
218,2,2,5
219,3,2,8
220,4,2,13
221,5,2,2
222,8,2,2
223,9,2,4
224,13,2,14
225,14,2,12
226,18,2,6
227,23,2,6
228,1,3,10
229,2,3,1
230,3,3,2
231,4,3,6
232,5,3,7
233,9,3,8
234,11,3,10
235,13,3,3
236,14,3,3
237,15,3,12
238,16,3,9
239,19,3,3
240,21,3,6
241,23,3,12
242,1,4,10
243,5,4,7
244,7,4,7
245,12,4,11
246,14,4,4
247,15,4,3
248,18,4,4
249,1,5,6
250,2,5,4
251,3,5,12
252,4,5,9
253,8,5,2
254,9,5,2
255,10,5,3
256,11,5,5
