"PRODUCT_ID","PRODUCT_NAME","UNIT_PRICE","PRODUCT_DETAILS","PRODUCT_IMAGE","IMAGE_MIME_TYPE","IMAGE_FILENAME","IMAGE_CHARSET","IMAGE_LAST_UPDATED"
36,"Women's Trousers (Blue)",29.51,"eyJjb2xvdXIiOiJibHVlIiwiZ2VuZGVyIjoiV29tZW4ncyIsImJyYW5kIjoiVFJPTExFUlkiLCJkZXNjcmlwdGlvbiI6IlByb2lkZW50IHN1bnQgaXBzdW0gcGFyaWF0dXIgZHVpcyBkb2xvciBldSBkb2xvcmUgY3VscGEgYWQgYWxpcXVpcCBlbGl0LiBNb2xsaXQgTG9yZW0gZXQgYWxpcXVpcCBjb21tb2RvIGVzdCBhbmltIGFtZXQgZWl1c21vZCBhbWV0IGRvbG9yZSBsYWJvcnVtIHRlbXBvciBvZmZpY2lhLiIsInNpemVzIjpbMCwyLDQsNiw4LDEwLDEyLDE0LDE2LDE4LDIwXSwicmV2aWV3cyI6W3sicmF0aW5nIjoxMCwicmV2aWV3IjoiQ29uc2VxdWF0IHV0IGNvbW1vZG8gaXJ1cmUgc2l0IGVsaXQgYW5pbSBhbWV0IGV1IGVzdCBzdW50IHRlbXBvciBub24uIn1dfQ==",,,,,
37,"Boy's Jeans (Blue)",22.98,"eyJjb2xvdXIiOiJibHVlIiwiZ2VuZGVyIjoiQm95J3MiLCJicmFuZCI6IkFWSVQiLCJkZXNjcmlwdGlvbiI6IlZlbGl0IHZlbGl0IGVzc2UgbnVsbGEgbWluaW0gbWluaW0gbGFib3J1bSBlc3NlLiBTaW50IG1pbmltIGlkIGFsaXF1aXAgYW1ldCBmdWdpYXQgZG9sb3IgYWxpcXVhLiIsInNpemVzIjpbIjEgWXIiLCIyIFlyIiwiMy00IFlyIiwiNS02IFlyIiwiNy04IFlyIiwiOS0xMCBZciJdLCJyZXZpZXdzIjpbXX0=",,,,,
38,"Girl's Pyjamas (Red)",11,"eyJjb2xvdXIiOiJyZWQiLCJnZW5kZXIiOiJHaXJsJ3MiLCJicmFuZCI6IkVNVFJBSyIsImRlc2NyaXB0aW9uIjoiTWFnbmEgZXN0IG9jY2FlY2F0IGNvbnNlY3RldHVyIHVsbGFtY28gbW9sbGl0IGRvbG9yZSBhdXRlIGlydXJlIGNvbnNlY3RldHVyIG51bGxhIGlwc3VtIGlkIGVsaXQgb2NjYWVjYXQuIEFtZXQgTG9yZW0gc2ludCBudWxsYSBlaXVzbW9kIGNvbW1vZG8gYWxpcXVhIGNpbGx1bSBhbmltIHRlbXBvciB0ZW1wb3IgcGFyaWF0dXIgZG8gbm9zdHJ1ZCBtaW5pbS4iLCJzaXplcyI6WyIxIFlyIiwiMiBZciIsIjMtNCBZciIsIjUtNiBZciIsIjctOCBZciIsIjktMTAgWXIiXSwicmV2aWV3cyI6W3sicmF0aW5nIjo0LCJyZXZpZXciOiJDb25zZWN0ZXR1ciB2ZWxpdCBhZGlwaXNpY2luZyBleGNlcHRldXIgaW4gZXhjZXB0ZXVyIHNpdCBleGNlcHRldXIgaXJ1cmUgdmVuaWFtIHZlbGl0LiJ9LHsicmF0aW5nIjo0LCJyZXZpZXciOiJDb25zZWN0ZXR1ciBleGVyY2l0YXRpb24gZXhlcmNpdGF0aW9uIGlydXJlIGNvbW1vZG8gb2ZmaWNpYSBkbyBhZGlwaXNpY2luZyB1bGxhbWNvIHNpdCBhbmltIGNvbnNlcXVhdC4ifSx7InJhdGluZyI6OSwicmV2aWV3IjoiTWluaW0gb2NjYWVjYXQgc3VudCBsYWJvcnVtIHZvbHVwdGF0ZSBjdWxwYSBlbmltIGVsaXQuIn0seyJyYXRpbmciOjIsInJldmlldyI6IlJlcHJlaGVuZGVyaXQgbGFib3JlIGluY2lkaWR1bnQgZXggdWxsYW1jbyBub3N0cnVkIGNpbGx1bSBpcnVyZSBtb2xsaXQgZG9sb3JlIGFsaXF1YSBlbmltIHRlbXBvciBhbGlxdWlwIGxhYm9ydW0uIn0seyJyYXRpbmciOjIsInJldmlldyI6IkVuaW0gY29tbW9kbyBhZGlwaXNpY2luZyBjb25zZXF1YXQgY29tbW9kby4ifSx7InJhdGluZyI6OCwicmV2aWV3IjoiU2ludCB1dCBjaWxsdW0gTG9yZW0gdXQgYWQgYWxpcXVpcCBlbGl0IHN1bnQgbGFib3JlIGxhYm9yaXMgY29uc2VxdWF0IExvcmVtIGFsaXF1YSBvY2NhZWNhdC4ifSx7InJhdGluZyI6MiwicmV2aWV3IjoiRXQgY29uc2VjdGV0dXIgaW4gb2ZmaWNpYSB1bGxhbWNvIGxhYm9yZSBlYSBkdWlzIGFtZXQuIn0seyJyYXRpbmciOjgsInJldmlldyI6IlJlcHJlaGVuZGVyaXQgZW5pbSB0ZW1wb3IgcHJvaWRlbnQgY29tbW9kbyBleCBldSBmdWdpYXQgY3VwaWRhdGF0IGV4ZXJjaXRhdGlvbiBjdWxwYSBpZCBhZGlwaXNpY2luZyBkZXNlcnVudCBvZmZpY2lhLiJ9XX0=",,,,,
39,"Boy's Trousers (Blue)",34.06,"eyJjb2xvdXIiOiJibHVlIiwiZ2VuZGVyIjoiQm95J3MiLCJicmFuZCI6IkRJR0lORVRJQyIsImRlc2NyaXB0aW9uIjoiRG9sb3IgYWxpcXVhIG1pbmltIG5vc3RydWQgbm9uIGxhYm9yZSBpbiB1bGxhbWNvIG1vbGxpdCBtb2xsaXQgc2l0IG5vbi4gRHVpcyBudWxsYSBleGVyY2l0YXRpb24gZXQgYWRpcGlzaWNpbmcgbm9zdHJ1ZCB2b2x1cHRhdGUgY3VwaWRhdGF0IGV1IHJlcHJlaGVuZGVyaXQuIiwic2l6ZXMiOlsiMSBZciIsIjIgWXIiLCIzLTQgWXIiLCI1LTYgWXIiLCI3LTggWXIiLCI5LTEwIFlyIl0sInJldmlld3MiOlt7InJhdGluZyI6NiwicmV2aWV3IjoiQ3VscGEgaWQgY29uc2VxdWF0IGNpbGx1bSBkb2xvci4ifSx7InJhdGluZyI6OCwicmV2aWV3IjoiUXVpIGRvIHF1aXMgbWFnbmEgbm9zdHJ1ZCBleGVyY2l0YXRpb24gZW5pbSBhdXRlIGRvbG9yZSBwcm9pZGVudCBpcHN1bSBzaW50IG5vc3RydWQgZGVzZXJ1bnQuIn0seyJyYXRpbmciOjksInJldmlldyI6IkV4Y2VwdGV1ciBmdWdpYXQgYWRpcGlzaWNpbmcgbGFib3JpcyBlYSBjdWxwYSBjdXBpZGF0YXQgbGFib3J1bSBvY2NhZWNhdCBub3N0cnVkLiJ9XX0=",,,,,
40,"Girl's Pyjamas (Black)",8.66,"eyJjb2xvdXIiOiJibGFjayIsImdlbmRlciI6IkdpcmwncyIsImJyYW5kIjoiSVNPTE9HSUNTIiwiZGVzY3JpcHRpb24iOiJFeCBleGVyY2l0YXRpb24gYWxpcXVpcCBjaWxsdW0gYWRpcGlzaWNpbmcgY3VwaWRhdGF0LiBDdWxwYSBsYWJvcmUgZWl1c21vZCBkbyB1dCBpcHN1bSBpbmNpZGlkdW50IGlwc3VtIGxhYm9yZS4iLCJzaXplcyI6WyIxIFlyIiwiMiBZciIsIjMtNCBZciIsIjUtNiBZciIsIjctOCBZciIsIjktMTAgWXIiXSwicmV2aWV3cyI6W3sicmF0aW5nIjo2LCJyZXZpZXciOiJEdWlzIG1pbmltIGR1aXMgZG9sb3IgbGFib3JpcyBlaXVzbW9kIGNvbnNlcXVhdCBmdWdpYXQgYWRpcGlzaWNpbmcgZXggbm9uIGN1bHBhIExvcmVtIHByb2lkZW50IHF1aS4ifSx7InJhdGluZyI6NCwicmV2aWV3IjoiVmVuaWFtIHRlbXBvciBjb21tb2RvIGFsaXF1YSBzaXQgZXggbW9sbGl0IGNpbGx1bSBhdXRlIG9mZmljaWEgZnVnaWF0IHRlbXBvciBzdW50IG51bGxhIGVsaXQuIn0seyJyYXRpbmciOjEwLCJyZXZpZXciOiJEb2xvcmUgb2ZmaWNpYSBhdXRlIG1hZ25hIGVpdXNtb2QgZXhlcmNpdGF0aW9uIGVzc2UgYW1ldCB0ZW1wb3IuIn0seyJyYXRpbmciOjcsInJldmlldyI6IlByb2lkZW50IG5pc2kgdm9sdXB0YXRlIGVhIGVzc2UgZXhlcmNpdGF0aW9uIHVsbGFtY28gY29uc2VxdWF0IGNvbnNlY3RldHVyIGluIGVuaW0gYW1ldCBhZGlwaXNpY2luZyBjb21tb2RvIG51bGxhLiJ9LHsicmF0aW5nIjo0LCJyZXZpZXciOiJJcnVyZSB1bGxhbWNvIGlkIGFkaXBpc2ljaW5nIGZ1Z2lhdCBMb3JlbSBkbyBub24gb2ZmaWNpYSBuaXNpIHN1bnQgZXNzZSBtb2xsaXQgY29uc2VjdGV0dXIuIn0seyJyYXRpbmciOjksInJldmlldyI6IkxhYm9yaXMgZG8gZWxpdCBkb2xvciBvZmZpY2lhIGlydXJlIGVzc2UgaW5jaWRpZHVudCBwYXJpYXR1ciBlbGl0LiJ9LHsicmF0aW5nIjoxLCJyZXZpZXciOiJBbGlxdWEgTG9yZW0gbm9zdHJ1ZCBldCByZXByZWhlbmRlcml0IGV4ZXJjaXRhdGlvbiBleGVyY2l0YXRpb24gbm9zdHJ1ZCBjb25zZWN0ZXR1ciBkb2xvci4ifV19",,,,,
41,"Women's Dress (Black)",10.11,"eyJjb2xvdXIiOiJibGFjayIsImdlbmRlciI6IldvbWVuJ3MiLCJicmFuZCI6Ik5FT0NFTlQiLCJkZXNjcmlwdGlvbiI6IkV1IGVuaW0gYWxpcXVpcCBkZXNlcnVudCBlc3QgZHVpcyBkbyBzdW50IGNvbnNlcXVhdCBzaXQgc2l0IGxhYm9yZSBuaXNpLiBDdWxwYSBtb2xsaXQgY3VwaWRhdGF0IExvcmVtIGV0IG1pbmltIHNpdC4iLCJzaXplcyI6WzAsMiw0LDYsOCwxMCwxMiwxNCwxNiwxOCwyMF0sInJldmlld3MiOlt7InJhdGluZyI6NCwicmV2aWV3IjoiRXggY3VscGEgc2ludCBhZCBldSBxdWlzLiJ9LHsicmF0aW5nIjo0LCJyZXZpZXciOiJJcnVyZSBsYWJvcmUgYWRpcGlzaWNpbmcgdmVsaXQgc2ludCBzaW50LiJ9LHsicmF0aW5nIjo0LCJyZXZpZXciOiJVbGxhbWNvIGRvbG9yZSBhZCBxdWkgY29uc2VxdWF0IGxhYm9yZSBkbyBjaWxsdW0gdmVsaXQuIn0seyJyYXRpbmciOjUsInJldmlldyI6IlZlbGl0IG9mZmljaWEgZWl1c21vZCBwcm9pZGVudCBkb2xvcmUgb2NjYWVjYXQgZXUgZWl1c21vZC4ifV19",,,,,
42,"Boy's Jeans (Black)",16.64,"eyJjb2xvdXIiOiJibGFjayIsImdlbmRlciI6IkJveSdzIiwiYnJhbmQiOiJFQVJUSE1BUksiLCJkZXNjcmlwdGlvbiI6IkR1aXMgZG9sb3IgZXN0IGV1IGVsaXQgYW5pbSBwcm9pZGVudCBhbGlxdWEgZXUgdGVtcG9yLiBFc3QgZnVnaWF0IG5vbiB1bGxhbWNvIGV0IHBhcmlhdHVyIG51bGxhIGV4ZXJjaXRhdGlvbiBlaXVzbW9kIGlkIG9mZmljaWEgbWluaW0uIiwic2l6ZXMiOlsiMSBZciIsIjIgWXIiLCIzLTQgWXIiLCI1LTYgWXIiLCI3LTggWXIiLCI5LTEwIFlyIl0sInJldmlld3MiOlt7InJhdGluZyI6MTAsInJldmlldyI6IkFuaW0gYWxpcXVpcCBpZCByZXByZWhlbmRlcml0IGxhYm9yaXMuIn0seyJyYXRpbmciOjcsInJldmlldyI6Ik5vc3RydWQgbm9uIGN1cGlkYXRhdCBpZCBlaXVzbW9kIGFsaXF1aXAgYW5pbSB1bGxhbWNvIGFsaXF1aXAgY3VwaWRhdGF0IGV4Y2VwdGV1ciBkb2xvciByZXByZWhlbmRlcml0LiJ9LHsicmF0aW5nIjo2LCJyZXZpZXciOiJWZW5pYW0gY29uc2VxdWF0IGRlc2VydW50IG5vc3RydWQgc3VudCBlc3QgY29tbW9kbyBzaW50IGV1IGZ1Z2lhdCBpcHN1bSBkZXNlcnVudCBhdXRlIGVsaXQgZXN0LiJ9LHsicmF0aW5nIjo5LCJyZXZpZXciOiJFaXVzbW9kIGV4Y2VwdGV1ciB1dCB1bGxhbWNvIGVpdXNtb2QgbGFib3JlIGRlc2VydW50LiJ9LHsicmF0aW5nIjo1LCJyZXZpZXciOiJBdXRlIGRlc2VydW50IGV1IHZvbHVwdGF0ZSBpZCBpcnVyZSBhbGlxdWlwIGR1aXMgc2ludCBwcm9pZGVudCBkb2xvcmUgZG9sb3IuIn0seyJyYXRpbmciOjUsInJldmlldyI6IkRvbG9yZSBtb2xsaXQgcXVpcyBlbGl0IHF1aSB2b2x1cHRhdGUgYWQgY3VscGEgdm9sdXB0YXRlIGVsaXQgY29uc2VjdGV0dXIuIn1dfQ==",,,,,
43,"Boy's Trousers (Black)",39.32,"eyJjb2xvdXIiOiJibHVlIiwiZ2VuZGVyIjoiQm95J3MiLCJicmFuZCI6IlBIT0xJTyIsImRlc2NyaXB0aW9uIjoiVm9sdXB0YXRlIGV4IG1vbGxpdCBlbmltIG1pbmltIG51bGxhIHByb2lkZW50IGRvbG9yIGV1IG5vc3RydWQgdmVsaXQuIEV4IHVsbGFtY28gYXV0ZSBkb2xvciBkdWlzIGVsaXQgZWxpdC4iLCJzaXplcyI6WyIxIFlyIiwiMiBZciIsIjMtNCBZciIsIjUtNiBZciIsIjctOCBZciIsIjktMTAgWXIiXSwicmV2aWV3cyI6W3sicmF0aW5nIjozLCJyZXZpZXciOiJMYWJvcmUgbm9uIGV4ZXJjaXRhdGlvbiBhbmltIGlkIGRlc2VydW50IGV4Y2VwdGV1ciBkb2xvcmUgc3VudCBkZXNlcnVudCBkb2xvci4ifSx7InJhdGluZyI6NSwicmV2aWV3IjoiTGFib3J1bSBlaXVzbW9kIG1vbGxpdCBhbWV0IG51bGxhIGV4IGVzc2UgY3VscGEgdXQgZWxpdCByZXByZWhlbmRlcml0IGxhYm9yZSBleCBMb3JlbSBjdXBpZGF0YXQuIn0seyJyYXRpbmciOjcsInJldmlldyI6IlJlcHJlaGVuZGVyaXQgZG9sb3JlIGF1dGUgY29uc2VjdGV0dXIgdm9sdXB0YXRlIGV4Y2VwdGV1ciB2ZW5pYW0gbnVsbGEgYWQuIn0seyJyYXRpbmciOjUsInJldmlldyI6IlJlcHJlaGVuZGVyaXQgcHJvaWRlbnQgaW4gZWxpdCBwYXJpYXR1ci4ifSx7InJhdGluZyI6OCwicmV2aWV3IjoiTWFnbmEgbGFib3J1bSBhZCBkZXNlcnVudCB2b2x1cHRhdGUgZW5pbSBleGNlcHRldXIgZW5pbSBkb2xvcmUgdmVuaWFtIGNvbnNlcXVhdCBvZmZpY2lhIGFuaW0gZG9sb3JlIG1vbGxpdC4ifSx7InJhdGluZyI6MywicmV2aWV3IjoiRWxpdCBldCByZXByZWhlbmRlcml0IGFtZXQgYXV0ZSBhbWV0IGxhYm9yaXMgbWluaW0gaXJ1cmUgc2ludC4ifV19",,,,,
1,"Boy's Shirt (White)",29.55,"eyJjb2xvdXIiOiJ3aGl0ZSIsImdlbmRlciI6IkJveSdzIiwiYnJhbmQiOiJDT01UT1VSUyIsImRlc2NyaXB0aW9uIjoiTGFib3JlIGNvbW1vZG8gdmVsaXQgY3VwaWRhdGF0IHVsbGFtY28gZWEgcHJvaWRlbnQgdmVsaXQgc3VudCBhZGlwaXNpY2luZy4gRXNzZSB0ZW1wb3IgZXhlcmNpdGF0aW9uIHJlcHJlaGVuZGVyaXQgdWxsYW1jbyBlc3NlIGluY2lkaWR1bnQgZG9sb3JlIGxhYm9yaXMgTG9yZW0gaXBzdW0gZnVnaWF0IGVhLiIsInNpemVzIjpbIjEgWXIiLCIyIFlyIiwiMy00IFlyIiwiNS02IFlyIiwiNy04IFlyIiwiOS0xMCBZciJdLCJyZXZpZXdzIjpbXX0=",,,,,
2,"Women's Shirt (Green)",16.67,"eyJjb2xvdXIiOiJncmVlbiIsImdlbmRlciI6IldvbWVuJ3MiLCJicmFuZCI6IkZMRUVUTUlYIiwiZGVzY3JpcHRpb24iOiJFeGNlcHRldXIgYW5pbSBhZGlwaXNpY2luZyBhbGlxdWEgYWQuIEV4IGFsaXF1aXAgYWQgdGVtcG9yIGN1cGlkYXRhdCBkb2xvcmUgaXBzdW0gZXggYW5pbSBMb3JlbSBhdXRlIGFtZXQuIiwic2l6ZXMiOlswLDIsNCw2LDgsMTAsMTIsMTQsMTYsMTgsMjBdLCJyZXZpZXdzIjpbeyJyYXRpbmciOjgsInJldmlldyI6IkxhYm9ydW0gaXBzdW0gYWRpcGlzaWNpbmcgbWFnbmEgbnVsbGEgdGVtcG9yIGluY2lkaWR1bnQuIn0seyJyYXRpbmciOjEwLCJyZXZpZXciOiJDdXBpZGF0YXQgZG9sb3JlIG51bGxhIHBhcmlhdHVyIHF1aXMgcXVpcy4ifSx7InJhdGluZyI6OSwicmV2aWV3IjoiUGFyaWF0dXIgbW9sbGl0IGRvbG9yIGluIGRlc2VydW50IGNpbGx1bSBjb25zZWN0ZXR1ci4ifSx7InJhdGluZyI6MywicmV2aWV3IjoiRG9sb3JlIG9jY2FlY2F0IG1vbGxpdCBpZCBhZCBhbGlxdWEgaXJ1cmUgcmVwcmVoZW5kZXJpdCBhbWV0IGVpdXNtb2QgcGFyaWF0dXIuIn0seyJyYXRpbmciOjEwLCJyZXZpZXciOiJFc3QgcGFyaWF0dXIgZXQgcXVpIG1pbmltIHZlbGl0IG5vbiBjb25zZWN0ZXR1ciBzaW50IGZ1Z2lhdCBhZC4ifSx7InJhdGluZyI6NiwicmV2aWV3IjoiRXQgcGFyaWF0dXIgaXBzdW0gZXUgcXVpLiJ9LHsicmF0aW5nIjo2LCJyZXZpZXciOiJWb2x1cHRhdGUgbGFib3JlIGlydXJlIGN1cGlkYXRhdCBtb2xsaXQgaXJ1cmUgcXVpcyBmdWdpYXQgZW5pbSBsYWJvcnVtIGNvbnNlY3RldHVyIG9mZmljaWEgc3VudC4ifSx7InJhdGluZyI6OCwicmV2aWV3IjoiSXJ1cmUgZWxpdCBkbyBldCBlbGl0IGF1dGUgdmVuaWFtIHByb2lkZW50IHN1bnQuIn0seyJyYXRpbmciOjgsInJldmlldyI6IkF1dGUgbW9sbGl0IHByb2lkZW50IGlkIHZlbmlhbSBvY2NhZWNhdCBkb2xvcmUgbW9sbGl0IGRvbG9yZSBub3N0cnVkLiJ9XX0=",,,,,
